"CODIGO";"ID FABRICANTE";"CATEGORIA";"DETALLE";"IMAGEN";"IVA";"STOCK";"GARANTIA";"MONEDA";"PRECIO";"PRECIO FINAL";"COTIZACION DOLAR";"PRECIO PESOS SIN IVA";"PRECIO PESOS CON IVA";"ATRIBUTOS";"PRECIO USD CON UTILIDAD";"PRECIO PESOS CON UTILIDAD";"CATEGORIA_USUARIO";"UTILIDAD";"DETALLE_USUARIO";"PESO";"ALTO";"ANCHO";"LARGO";"";"IMPUESTO_INTERNO"
"104510";"F 3000";"ACCESORIOS";"FLUX PASTERMAX MAX 3000 EN GEL";"https://static.nb.com.ar/i/nb_FLUX-PASTERMAX-MAX-3000-EN-GEL_export_14a5c6cfba2e1392ec711534e2a1509c.jpeg";"21.0%";"20";"6 meses";"U$S";"2.96";"3.58";"1160";"3431.42";"4152.02";"PRESENTACION: Jeringa de 10cc en caja.
APARIENCIA: Gel transparente, amarillo a ámbar claro.";"3.58";"4152.02";"";"";"FLUX PASTERMAX MAX 3000 EN GEL";"80";"150";"30";"80";"";"0"
"104935";"23647";"ACCESORIOS";"ACCESORIOS BASE AURICULARES TRUST GXT 265 CINTAR RGB";"https://static.nb.com.ar/i/nb_ACCESORIOS-BASE-AURICULARES-TRUST-GXT-265-CINTAR-RGB_export_9aa21a53281c1ba04ba5addcad773562.png";"21.0%";"20";"12 meses";"U$S";"35.59";"43.07";"1160";"41289.04";"49959.74";"Power switch:no
Cable length main cable: 150 cm
Number of USB ports:2
USB version:2.0
Lights:yes
Compatible Device Types:laptop, pc
Compatible Consoles:no
Peso del producto (neto): 425 gPeso del producto (:425 g";"43.07";"49959.74";"";"";"ACCESORIOS BASE AURICULARES TRUST GXT 265 CINTAR RGB";"500";"140";"260";"140";"";"0"
"7557";"-";"ACCESORIOS";"ACCESORIOS SFX FICHA HDMI A DVI";"https://static.nb.com.ar/i/nb_ACCESORIOS-SFX-FICHA-HDMI-A-DVI_export_cf9fe8902fa5f652d66f4ee9d1b2ee89.jpeg";"21.0%";"20";"12 meses";"U$S";"6.58";"7.97";"1160";"7637.23";"9241.05";"Modelo:HDMI a DVI
Conector de entrada:HDMI
Conector de salida:DVI";"7.97";"9241.05";"";"";"ACCESORIOS SFX FICHA HDMI A DVI";"500";"140";"243";"140";"";"0"
"119953";"24782";"ACCESORIOS";"ACCESORIOS TRUST AVADO XBOX CHARGER KIT GXT246";"https://static.nb.com.ar/i/nb_ACCESORIOS-TRUST-AVADO-XBOX-CHARGER-KIT-GXT246_export_76b1086142384e898b739afc34481d01.png";"21.0%";"1";"12 meses";"U$S";"17.7";"21.42";"1160";"20530.61";"24842.04";"Modelo alfanumérico:GXT 246 Avado Kit Play & Charge de Xbox
Marca:Trust";"21.42";"24842.04";"";"";"ACCESORIOS TRUST AVADO XBOX CHARGER KIT GXT246";"500";"140";"243";"140";"";"0"
"119975";"25584";"ACCESORIOS";"PILAS AA RECARGABLES USB-C TRUST X2";"https://static.nb.com.ar/i/nb_PILAS-AA-RECARGABLES-USB-C-TRUST-X2_export_9707bece8405b38c2b0ca344c9778612.png";"21.0%";"8";"12 meses";"U$S";"9.82";"11.88";"1160";"11390.74";"13782.79";"System Requirements:Cable USB-C Cargador de 5 W o puerto USB
 Input power:2.4W
Package Contents:2 pilas AA
 Total output power (max): A, W:400mW";"11.88";"13782.8";"";"";"PILAS AA RECARGABLES USB-C TRUST X2";"500";"140";"243";"140";"";"0"
"119992";"AC-073-OO1NAN-A1";"ACCESORIOS";"ACCESORIOS THERMALTAKE KIT DE PANELES LCD 3.9 BLACK USB THE TOWER 300/CERES 330";"https://static.nb.com.ar/i/nb_ACCESORIOS-THERMALTAKE-KIT-DE-PANELES-LCD-3.9-BLACK-USB-THE-TOWER-300/CERES-330_export_9b2e0be3301a7a53d72095e10af973af.jpg";"21.0%";"5";"12 meses";"U$S";"91.2";"131.74";"1160";"105786.2";"152818.74";"Part Number:AC-073-OO1NAN-A1
Colors:Black
Types:Front / Back Panel & Accessories
Brand:Thermaltake
Model:Tower 300 Series";"131.74";"152818.75";"";"";"ACCESORIOS THERMALTAKE KIT DE PANELES LCD 3.9 BLACK USB THE TOWER 300/CERES 330";"500";"140";"243";"140";"";"23.46"
"120103";"31250023400";"ACCESORIOS";"BASE NOTEBOOK GENIUS G-STAND M250 IRON GREY";"https://static.nb.com.ar/i/nb_BASE-NOTEBOOK-GENIUS-G-STAND-M250-IRON-GREY_export_9117e8e90bc8a2cf6bc1bf3d9a90fcdb.jpg";"21.0%";"20";"12 meses";"U$S";"12.42";"15.03";"1160";"14408.59";"17434.4";"Modelo:G-Stand M250
Tipo de soporte:Ajustable
Es vertical:No
Marca:Genius
Es antideslizante:Sí";"15.03";"17434.39";"";"";"BASE NOTEBOOK GENIUS G-STAND M250 IRON GREY";"500";"140";"243";"140";"";"0"
"119952";"25240";"ACCESORIOS";"POWERBANK TRUST LARO 100W LAPTOP";"https://static.nb.com.ar/i/nb_POWERBANK-TRUST-LARO-100W-LAPTOP_export_92962f03b0b3b5072209373af10bdc65.png";"21.0%";"7";"12 meses";"U$S";"78.59";"95.09";"1160";"91159.99";"110303.59";"Marca del cargador:Trust
Tipo de cargador:Portátil";"95.09";"110303.59";"";"";"POWERBANK TRUST LARO 100W LAPTOP";"500";"140";"243";"140";"";"0"
"119810";"PAD";"ACCESORIOS";"PAD TERMICO EN MASA CARBONO PASTERMAX 30GRS";"https://static.nb.com.ar/i/nb_PAD-TERMICO-EN-MASA-CARBONO-PASTERMAX-30GRS_export_057b901a2024f7b811d788ad8030eacf.jpg";"21.0%";"2";"6 meses";"U$S";"10.04";"12.14";"1160";"11641.34";"14086.02";"";"12.14";"14086.02";"";"";"PAD TERMICO EN MASA CARBONO PASTERMAX 30GRS";"500";"140";"243";"140";"";"0"
"120102";"31250017400";"ACCESORIOS";"BASE PARA AURICULARES GENIUS RS2 GX-UH100";"https://static.nb.com.ar/i/nb_BASE-PARA-AURICULARES-GENIUS-RS2-GX-UH100_export_22997eebd110d21ba0118b7b0f2f3f89.jpg";"21.0%";"20";"12 meses";"U$S";"16.02";"19.39";"1160";"18588.77";"22492.41";"Modelo:GX-UH100
Marca:Genius
Color:Negro";"19.39";"22492.41";"";"";"BASE PARA AURICULARES GENIUS RS2 GX-UH100";"500";"140";"243";"140";"";"0"
